Day,Road Type,# Accidents
17 sept 2024,2,2446
17 sept 2024,6,762
17 sept 2024,17,18
17 sept 2024,5,1
17 sept 2024,4,360
17 sept 2024,20,31
18 sept 2024,4,469
18 sept 2024,2,3298
18 sept 2024,17,9
18 sept 2024,3,1582
18 sept 2024,5,1
18 sept 2024,20,30
18 sept 2024,6,936
18 sept 2024,1,1754
18 sept 2024,7,4678
19 sept 2024,20,34
19 sept 2024,1,1370
19 sept 2024,7,4456
19 sept 2024,2,3214
19 sept 2024,5,4
19 sept 2024,6,1047
19 sept 2024,17,21
19 sept 2024,3,1599
19 sept 2024,4,443
20 sept 2024,6,1079
20 sept 2024,7,5180
20 sept 2024,2,3489
20 sept 2024,17,12
20 sept 2024,20,36
20 sept 2024,10,2
20 sept 2024,4,464
20 sept 2024,1,1606
20 sept 2024,5,3
20 sept 2024,3,1761
21 sept 2024,17,3
21 sept 2024,2,1992
21 sept 2024,20,25
21 sept 2024,6,777
21 sept 2024,4,293
21 sept 2024,1,1043
21 sept 2024,3,1263
21 sept 2024,7,3402
22 sept 2024,6,316
22 sept 2024,7,1458
22 sept 2024,4,101
22 sept 2024,20,18
22 sept 2024,2,1042
22 sept 2024,17,4
22 sept 2024,1,667
22 sept 2024,3,389
23 sept 2024,4,343
23 sept 2024,17,14
23 sept 2024,20,30
23 sept 2024,7,3734
23 sept 2024,3,1163
23 sept 2024,10,1
23 sept 2024,1,1095
23 sept 2024,2,2535
23 sept 2024,6,766
24 sept 2024,4,392
24 sept 2024,1,1167
24 sept 2024,2,2797
24 sept 2024,20,23
24 sept 2024,7,4098
24 sept 2024,6,804
24 sept 2024,3,1520
24 sept 2024,17,24
24 sept 2024,10,6
25 sept 2024,7,4329
25 sept 2024,4,435
25 sept 2024,2,2881
25 sept 2024,1,1308
25 sept 2024,17,15
25 sept 2024,20,29
25 sept 2024,3,1439
25 sept 2024,6,872
25 sept 2024,5,3
26 sept 2024,2,2436
26 sept 2024,6,762
26 sept 2024,5,1
26 sept 2024,17,8
26 sept 2024,20,27
26 sept 2024,7,3892
26 sept 2024,3,1232
26 sept 2024,1,1209
26 sept 2024,4,377
27 sept 2024,2,2292
27 sept 2024,1,1135
27 sept 2024,4,395
27 sept 2024,20,30
27 sept 2024,6,880
27 sept 2024,17,12
27 sept 2024,7,4198
27 sept 2024,3,1533
27 sept 2024,5,1
27 sept 2024,10,2
28 sept 2024,1,1365
28 sept 2024,7,4498
28 sept 2024,2,2631
28 sept 2024,6,948
28 sept 2024,17,11
28 sept 2024,3,1559
28 sept 2024,4,349
28 sept 2024,20,36
28 sept 2024,5,1
29 sept 2024,20,17
29 sept 2024,6,392
29 sept 2024,2,1183
29 sept 2024,4,121
29 sept 2024,7,1683
29 sept 2024,17,4
29 sept 2024,1,673
29 sept 2024,3,498
30 sept 2024,1,996
30 sept 2024,3,1103
30 sept 2024,4,286
30 sept 2024,20,24
30 sept 2024,2,2065
30 sept 2024,7,3396
30 sept 2024,17,8
30 sept 2024,6,773
30 sept 2024,10,1
1 oct 2024,1,595
1 oct 2024,7,1624
1 oct 2024,3,478
1 oct 2024,6,357
1 oct 2024,20,2
1 oct 2024,17,3
1 oct 2024,2,1024
1 oct 2024,4,148
2 oct 2024,4,342
2 oct 2024,17,12
2 oct 2024,1,1352
2 oct 2024,20,29
2 oct 2024,3,1277
2 oct 2024,7,3943
2 oct 2024,6,846
2 oct 2024,2,2926
3 oct 2024,1,1539
3 oct 2024,2,3300
3 oct 2024,4,493
3 oct 2024,17,7
3 oct 2024,3,1654
3 oct 2024,7,4852
3 oct 2024,6,900
3 oct 2024,20,44
3 oct 2024,5,2
4 oct 2024,17,22
4 oct 2024,1,1556
4 oct 2024,7,4647
4 oct 2024,20,28
4 oct 2024,4,467
4 oct 2024,6,935
4 oct 2024,2,3230
4 oct 2024,5,3
4 oct 2024,10,2
4 oct 2024,3,1566
5 oct 2024,4,358
5 oct 2024,2,2116
5 oct 2024,3,1443
5 oct 2024,6,775
5 oct 2024,17,7
5 oct 2024,20,23
5 oct 2024,10,2
5 oct 2024,1,1043
5 oct 2024,7,3423
6 oct 2024,1,477
6 oct 2024,17,2
6 oct 2024,10,2
6 oct 2024,6,284
6 oct 2024,4,116
6 oct 2024,20,27
6 oct 2024,3,552
6 oct 2024,2,929
6 oct 2024,7,1226
7 oct 2024,4,290
7 oct 2024,6,731
7 oct 2024,17,9
7 oct 2024,7,3076
7 oct 2024,20,27
7 oct 2024,2,2269
7 oct 2024,3,1110
7 oct 2024,1,1055
8 oct 2024,20,29
8 oct 2024,6,812
8 oct 2024,3,1304
8 oct 2024,1,1157
8 oct 2024,4,335
8 oct 2024,2,2674
8 oct 2024,7,3698
8 oct 2024,17,12
9 oct 2024,3,1382
9 oct 2024,6,842
9 oct 2024,20,26
9 oct 2024,4,427
9 oct 2024,2,3023
9 oct 2024,1,1367
9 oct 2024,5,1
9 oct 2024,7,4132
9 oct 2024,17,7
10 oct 2024,6,789
10 oct 2024,7,3770
10 oct 2024,1,1096
10 oct 2024,3,1494
10 oct 2024,20,39
10 oct 2024,5,1
10 oct 2024,4,390
10 oct 2024,10,1
10 oct 2024,17,17
10 oct 2024,2,2682
11 oct 2024,20,33
11 oct 2024,5,1
11 oct 2024,1,1377
11 oct 2024,17,12
11 oct 2024,7,4394
11 oct 2024,6,920
11 oct 2024,2,3043
11 oct 2024,3,1531
11 oct 2024,4,427
12 oct 2024,1,1068
12 oct 2024,4,286
12 oct 2024,3,1360
12 oct 2024,7,3653
12 oct 2024,20,32
12 oct 2024,2,2011
12 oct 2024,5,1
12 oct 2024,17,9
12 oct 2024,6,770
13 oct 2024,4,101
13 oct 2024,17,4
13 oct 2024,1,493
13 oct 2024,3,428
13 oct 2024,6,391
13 oct 2024,2,950
13 oct 2024,7,1064
13 oct 2024,20,17
14 oct 2024,1,1028
14 oct 2024,7,3354
14 oct 2024,6,782
14 oct 2024,20,25
14 oct 2024,17,8
14 oct 2024,5,1
14 oct 2024,2,2280
14 oct 2024,10,1
14 oct 2024,4,323
14 oct 2024,3,1255
15 oct 2024,3,1461
15 oct 2024,20,21
15 oct 2024,17,13
15 oct 2024,1,1169
15 oct 2024,2,2650
15 oct 2024,4,430
15 oct 2024,6,904
15 oct 2024,10,1
15 oct 2024,7,4294
16 oct 2024,6,870
16 oct 2024,3,1562
16 oct 2024,1,1272
16 oct 2024,17,7
16 oct 2024,2,2816
16 oct 2024,7,4211
16 oct 2024,4,447
16 oct 2024,20,42
17 oct 2024,20,37
17 oct 2024,5,2
17 oct 2024,2,2576
17 oct 2024,6,882
17 oct 2024,4,384
17 oct 2024,3,1429
17 oct 2024,17,7
17 oct 2024,7,3838
17 oct 2024,1,1172
18 oct 2024,6,930
18 oct 2024,4,388
18 oct 2024,3,1693
18 oct 2024,1,1345
18 oct 2024,17,9
18 oct 2024,7,4493
18 oct 2024,2,2843
18 oct 2024,20,26
19 oct 2024,17,7
19 oct 2024,7,3136
19 oct 2024,1,922
19 oct 2024,6,867
19 oct 2024,3,1423
19 oct 2024,20,28
19 oct 2024,4,313
19 oct 2024,10,1
19 oct 2024,2,2048
20 oct 2024,3,545
20 oct 2024,20,11
20 oct 2024,17,4
20 oct 2024,4,103
20 oct 2024,2,878
20 oct 2024,6,336
20 oct 2024,1,595
20 oct 2024,7,1309
20 oct 2024,10,2
21 oct 2024,5,1
21 oct 2024,6,574
21 oct 2024,1,816
21 oct 2024,17,7
21 oct 2024,7,2723
21 oct 2024,20,35
21 oct 2024,2,1902
21 oct 2024,3,1167
21 oct 2024,4,284
22 oct 2024,4,345
22 oct 2024,7,3438
22 oct 2024,2,2316
22 oct 2024,17,15
22 oct 2024,1,1009
22 oct 2024,20,31
22 oct 2024,6,789
22 oct 2024,3,1189
22 oct 2024,5,2
23 oct 2024,20,29
23 oct 2024,2,2384
23 oct 2024,1,1124
23 oct 2024,17,18
23 oct 2024,3,1395
23 oct 2024,7,3764
23 oct 2024,4,366
23 oct 2024,5,3
23 oct 2024,6,732
24 oct 2024,3,1341
24 oct 2024,6,754
24 oct 2024,17,12
24 oct 2024,2,2378
24 oct 2024,1,1089
24 oct 2024,20,28
24 oct 2024,7,3832
24 oct 2024,4,378
25 oct 2024,10,2
25 oct 2024,17,10
25 oct 2024,4,339
25 oct 2024,3,1579
25 oct 2024,20,33
25 oct 2024,7,3882
25 oct 2024,2,2252
25 oct 2024,1,1019
25 oct 2024,5,1
25 oct 2024,6,798
26 oct 2024,1,901
26 oct 2024,17,20
26 oct 2024,3,1205
26 oct 2024,7,3150
26 oct 2024,10,2
26 oct 2024,4,246
26 oct 2024,6,783
26 oct 2024,20,19
26 oct 2024,2,1922
27 oct 2024,1,504
27 oct 2024,20,14
27 oct 2024,17,5
27 oct 2024,2,854
27 oct 2024,3,507
27 oct 2024,7,1196
27 oct 2024,4,107
27 oct 2024,6,365
28 oct 2024,5,1
28 oct 2024,20,22
28 oct 2024,17,10
28 oct 2024,3,1240
28 oct 2024,2,1819
28 oct 2024,6,622
28 oct 2024,7,3004
28 oct 2024,1,954
28 oct 2024,4,272
29 oct 2024,17,11
29 oct 2024,6,732
29 oct 2024,3,1240
29 oct 2024,4,372
29 oct 2024,7,3604
29 oct 2024,20,27
29 oct 2024,10,2
29 oct 2024,1,1115
29 oct 2024,2,2274
30 oct 2024,1,1048
30 oct 2024,2,2479
30 oct 2024,7,3767
30 oct 2024,6,815
30 oct 2024,3,1310
30 oct 2024,20,35
30 oct 2024,17,16
30 oct 2024,4,363
31 oct 2024,7,4205
31 oct 2024,10,1
31 oct 2024,1,1240
31 oct 2024,6,780
31 oct 2024,4,436
31 oct 2024,2,2938
31 oct 2024,3,1647
31 oct 2024,17,13
31 oct 2024,20,26
1 nov 2024,2,2660
1 nov 2024,6,823
1 nov 2024,1,1413
1 nov 2024,7,4237
1 nov 2024,20,18
1 nov 2024,10,1
1 nov 2024,3,1490
1 nov 2024,17,17
1 nov 2024,4,380
2 nov 2024,3,1217
2 nov 2024,17,5
2 nov 2024,7,2801
2 nov 2024,1,984
2 nov 2024,2,1941
2 nov 2024,6,748
2 nov 2024,4,242
2 nov 2024,10,1
2 nov 2024,20,22
3 nov 2024,4,117
3 nov 2024,17,5
3 nov 2024,6,341
3 nov 2024,10,2
3 nov 2024,7,1287
3 nov 2024,2,963
3 nov 2024,5,2
3 nov 2024,3,409
3 nov 2024,20,31
3 nov 2024,1,729
4 nov 2024,1,966
4 nov 2024,4,285
4 nov 2024,3,1125
4 nov 2024,17,6
4 nov 2024,2,1786
4 nov 2024,20,36
4 nov 2024,6,703
4 nov 2024,7,2906
5 nov 2024,1,1097
5 nov 2024,4,373
5 nov 2024,3,1328
5 nov 2024,5,3
5 nov 2024,20,20
5 nov 2024,7,3541
5 nov 2024,2,2386
5 nov 2024,17,9
5 nov 2024,6,774
6 nov 2024,1,978
6 nov 2024,17,10
6 nov 2024,2,2100
6 nov 2024,4,366
6 nov 2024,5,1
6 nov 2024,10,1
6 nov 2024,7,3344
6 nov 2024,20,32
6 nov 2024,3,1398
6 nov 2024,6,745
7 nov 2024,3,1437
7 nov 2024,10,1
7 nov 2024,2,2157
7 nov 2024,17,6
7 nov 2024,7,3270
7 nov 2024,4,331
7 nov 2024,1,1024
7 nov 2024,6,774
7 nov 2024,20,32
8 nov 2024,6,682
8 nov 2024,1,823
8 nov 2024,7,3177
8 nov 2024,20,19
8 nov 2024,4,400
8 nov 2024,17,4
8 nov 2024,5,2
8 nov 2024,3,1419
8 nov 2024,2,1977
9 nov 2024,7,3683
9 nov 2024,4,389
9 nov 2024,6,936
9 nov 2024,3,1664
9 nov 2024,20,27
9 nov 2024,2,2130
9 nov 2024,1,983
9 nov 2024,17,12
10 nov 2024,3,593
10 nov 2024,20,18
10 nov 2024,5,1
10 nov 2024,2,722
10 nov 2024,7,1238
10 nov 2024,17,8
10 nov 2024,1,351
10 nov 2024,6,321
10 nov 2024,4,88
11 nov 2024,1,754
11 nov 2024,2,1719
11 nov 2024,3,1080
11 nov 2024,6,609
11 nov 2024,4,289
11 nov 2024,7,2741
11 nov 2024,17,6
11 nov 2024,20,25
12 nov 2024,17,8
12 nov 2024,4,400
12 nov 2024,6,744
12 nov 2024,7,3547
12 nov 2024,20,36
12 nov 2024,1,879
12 nov 2024,2,2261
12 nov 2024,3,1480
13 nov 2024,6,838
13 nov 2024,2,2315
13 nov 2024,17,8
13 nov 2024,3,1364
13 nov 2024,1,911
13 nov 2024,7,3674
13 nov 2024,4,389
13 nov 2024,5,4
13 nov 2024,20,22
14 nov 2024,17,6
14 nov 2024,3,1510
14 nov 2024,4,419
14 nov 2024,5,1
14 nov 2024,1,1129
14 nov 2024,7,4088
14 nov 2024,20,35
14 nov 2024,10,1
14 nov 2024,6,903
14 nov 2024,2,2641
15 nov 2024,17,8
15 nov 2024,4,489
15 nov 2024,2,3111
15 nov 2024,1,1422
15 nov 2024,3,1911
15 nov 2024,6,944
15 nov 2024,7,5243
15 nov 2024,20,43
16 nov 2024,4,332
16 nov 2024,17,4
16 nov 2024,3,1758
16 nov 2024,10,1
16 nov 2024,7,3896
16 nov 2024,20,34
16 nov 2024,2,2286
16 nov 2024,1,1125
16 nov 2024,6,829
17 nov 2024,3,432
17 nov 2024,7,1199
17 nov 2024,10,1
17 nov 2024,6,377
17 nov 2024,17,4
17 nov 2024,4,117
17 nov 2024,1,353
17 nov 2024,2,766
17 nov 2024,20,22
18 nov 2024,4,87
18 nov 2024,6,229
18 nov 2024,2,809
18 nov 2024,1,469
18 nov 2024,3,343
18 nov 2024,20,15
18 nov 2024,17,9
18 nov 2024,7,1480
19 nov 2024,10,2
19 nov 2024,7,3218
19 nov 2024,6,704
19 nov 2024,4,322
19 nov 2024,1,812
19 nov 2024,17,9
19 nov 2024,3,1181
19 nov 2024,5,1
19 nov 2024,20,30
19 nov 2024,2,2060
20 nov 2024,3,1302
20 nov 2024,20,32
20 nov 2024,1,1077
20 nov 2024,4,364
20 nov 2024,7,3589
20 nov 2024,17,6
20 nov 2024,6,790
20 nov 2024,2,2495
21 nov 2024,7,3674
21 nov 2024,6,833
21 nov 2024,17,7
21 nov 2024,1,1104
21 nov 2024,4,356
21 nov 2024,2,2178
21 nov 2024,5,1
21 nov 2024,20,30
21 nov 2024,3,1434
22 nov 2024,17,9
22 nov 2024,20,27
22 nov 2024,7,3926
22 nov 2024,4,440
22 nov 2024,2,2357
22 nov 2024,1,1069
22 nov 2024,6,819
22 nov 2024,5,1
22 nov 2024,3,1624
23 nov 2024,7,3063
23 nov 2024,6,730
23 nov 2024,3,1163
23 nov 2024,20,21
23 nov 2024,5,1
23 nov 2024,10,1
23 nov 2024,17,11
23 nov 2024,4,280
23 nov 2024,1,812
23 nov 2024,2,1863
24 nov 2024,7,1662
24 nov 2024,4,111
24 nov 2024,20,45
24 nov 2024,2,1017
24 nov 2024,10,2
24 nov 2024,3,539
24 nov 2024,17,9
24 nov 2024,6,401
24 nov 2024,1,764
25 nov 2024,2,1516
25 nov 2024,20,23
25 nov 2024,7,2573
25 nov 2024,3,1083
25 nov 2024,10,1
25 nov 2024,17,10
25 nov 2024,1,754
25 nov 2024,4,244
25 nov 2024,6,555
26 nov 2024,17,18
26 nov 2024,6,704
26 nov 2024,20,32
26 nov 2024,1,843
26 nov 2024,7,3401
26 nov 2024,3,1263
26 nov 2024,2,2045
26 nov 2024,5,1
26 nov 2024,4,339
27 nov 2024,2,2306
27 nov 2024,17,13
27 nov 2024,20,17
27 nov 2024,1,1070
27 nov 2024,3,1464
27 nov 2024,7,3737
27 nov 2024,4,382
27 nov 2024,6,739
27 nov 2024,10,1
28 nov 2024,20,14
28 nov 2024,17,3
28 nov 2024,7,3705
28 nov 2024,4,412
28 nov 2024,6,855
28 nov 2024,2,2255
28 nov 2024,3,1378
28 nov 2024,1,1046
29 nov 2024,17,9
29 nov 2024,5,1
29 nov 2024,1,1090
29 nov 2024,3,1792
29 nov 2024,20,33
29 nov 2024,2,2442
29 nov 2024,4,406
29 nov 2024,7,4496
29 nov 2024,6,805
30 nov 2024,7,4013
30 nov 2024,10,1
30 nov 2024,4,345
30 nov 2024,6,865
30 nov 2024,20,30
30 nov 2024,17,18
30 nov 2024,2,2231
30 nov 2024,3,1477
30 nov 2024,1,1042
1 dic 2024,3,624
1 dic 2024,6,477
1 dic 2024,17,13
1 dic 2024,2,988
1 dic 2024,1,497
1 dic 2024,10,1
1 dic 2024,20,19
1 dic 2024,7,1730
1 dic 2024,4,121
2 dic 2024,17,8
2 dic 2024,7,3364
2 dic 2024,5,3
2 dic 2024,2,1823
2 dic 2024,4,274
2 dic 2024,3,1134
2 dic 2024,10,1
2 dic 2024,6,717
2 dic 2024,20,22
2 dic 2024,1,862
3 dic 2024,17,10
3 dic 2024,2,2356
3 dic 2024,1,1063
3 dic 2024,4,348
3 dic 2024,3,1404
3 dic 2024,7,3985
3 dic 2024,6,728
3 dic 2024,20,27
4 dic 2024,3,1291
4 dic 2024,17,10
4 dic 2024,1,1069
4 dic 2024,4,327
4 dic 2024,20,21
4 dic 2024,10,1
4 dic 2024,2,2216
4 dic 2024,5,1
4 dic 2024,6,732
4 dic 2024,7,3933
5 dic 2024,7,4498
5 dic 2024,2,2451
5 dic 2024,6,790
5 dic 2024,5,1
5 dic 2024,20,34
5 dic 2024,10,2
5 dic 2024,17,11
5 dic 2024,1,1180
5 dic 2024,3,1574
5 dic 2024,4,383
6 dic 2024,3,1835
6 dic 2024,17,10
6 dic 2024,7,5265
6 dic 2024,4,429
6 dic 2024,1,1626
6 dic 2024,20,31
6 dic 2024,5,1
6 dic 2024,6,988
6 dic 2024,2,3268
7 dic 2024,1,1105
7 dic 2024,4,332
7 dic 2024,17,13
7 dic 2024,20,28
7 dic 2024,10,1
7 dic 2024,2,2278
7 dic 2024,7,3864
7 dic 2024,3,1561
7 dic 2024,6,927
8 dic 2024,2,995
8 dic 2024,10,2
8 dic 2024,3,571
8 dic 2024,5,1
8 dic 2024,17,7
8 dic 2024,6,462
8 dic 2024,1,514
8 dic 2024,7,1681
8 dic 2024,4,128
8 dic 2024,20,19
9 dic 2024,6,630
9 dic 2024,20,29
9 dic 2024,17,7
9 dic 2024,1,768
9 dic 2024,7,2697
9 dic 2024,2,1564
9 dic 2024,10,1
9 dic 2024,5,1
9 dic 2024,3,1034
9 dic 2024,4,241
10 dic 2024,17,7
10 dic 2024,7,3872
10 dic 2024,6,863
10 dic 2024,2,2269
10 dic 2024,20,39
10 dic 2024,4,393
10 dic 2024,1,1014
10 dic 2024,3,1397
11 dic 2024,1,1188
11 dic 2024,2,2367
11 dic 2024,7,3912
11 dic 2024,17,10
11 dic 2024,6,857
11 dic 2024,20,24
11 dic 2024,4,354
11 dic 2024,3,1408
12 dic 2024,4,293
12 dic 2024,20,24
12 dic 2024,2,2155
12 dic 2024,6,855
12 dic 2024,10,2
12 dic 2024,3,1157
12 dic 2024,1,1170
12 dic 2024,5,1
12 dic 2024,17,8
12 dic 2024,7,3404
13 dic 2024,7,4256
13 dic 2024,4,362
13 dic 2024,5,1
13 dic 2024,3,1586
13 dic 2024,17,4
13 dic 2024,2,2578
13 dic 2024,1,1263
13 dic 2024,20,35
13 dic 2024,6,924
14 dic 2024,7,3980
14 dic 2024,20,34
14 dic 2024,4,342
14 dic 2024,2,2205
14 dic 2024,3,1580
14 dic 2024,17,16
14 dic 2024,1,1125
14 dic 2024,6,1007
14 dic 2024,10,1
15 dic 2024,6,612
15 dic 2024,1,617
15 dic 2024,20,26
15 dic 2024,7,1818
15 dic 2024,4,115
15 dic 2024,17,8
15 dic 2024,3,537
15 dic 2024,2,1117
16 dic 2024,3,1039
16 dic 2024,7,3231
16 dic 2024,2,1865
16 dic 2024,20,19
16 dic 2024,6,690
16 dic 2024,17,9
16 dic 2024,4,222
16 dic 2024,5,3
16 dic 2024,1,917
17 dic 2024,1,1061
17 dic 2024,7,3387
17 dic 2024,20,23
17 dic 2024,3,1356
17 dic 2024,2,2112
17 dic 2024,5,1
17 dic 2024,6,802
17 dic 2024,17,4
17 dic 2024,10,1
17 dic 2024,4,278
18 dic 2024,6,796
18 dic 2024,4,319
18 dic 2024,2,2111
18 dic 2024,3,1564
18 dic 2024,5,1
18 dic 2024,7,4045
18 dic 2024,17,10
18 dic 2024,1,1008
18 dic 2024,20,41
19 dic 2024,7,3710
19 dic 2024,20,29
19 dic 2024,6,792
19 dic 2024,10,1
19 dic 2024,3,1519
19 dic 2024,4,309
19 dic 2024,1,1023
19 dic 2024,17,6
19 dic 2024,2,1949
20 dic 2024,3,1681
20 dic 2024,17,11
20 dic 2024,7,4211
20 dic 2024,2,2397
20 dic 2024,1,1185
20 dic 2024,20,32
20 dic 2024,10,3
20 dic 2024,4,369
20 dic 2024,6,816
21 dic 2024,4,290
21 dic 2024,2,1989
21 dic 2024,17,4
21 dic 2024,1,984
21 dic 2024,5,1
21 dic 2024,6,812
21 dic 2024,3,1462
21 dic 2024,20,26
21 dic 2024,7,3173
22 dic 2024,2,1064
22 dic 2024,10,3
22 dic 2024,1,660
22 dic 2024,3,543
22 dic 2024,20,30
22 dic 2024,7,1489
22 dic 2024,6,446
22 dic 2024,4,97
22 dic 2024,17,9
23 dic 2024,1,763
23 dic 2024,4,217
23 dic 2024,20,21
23 dic 2024,3,961
23 dic 2024,17,3
23 dic 2024,7,2546
23 dic 2024,6,730
23 dic 2024,2,1561
24 dic 2024,2,1416
24 dic 2024,20,26
24 dic 2024,7,2056
24 dic 2024,1,803
24 dic 2024,3,635
24 dic 2024,5,1
24 dic 2024,6,537
24 dic 2024,4,139
24 dic 2024,17,6
25 dic 2024,3,271
25 dic 2024,20,2
25 dic 2024,4,50
25 dic 2024,17,15
25 dic 2024,6,247
25 dic 2024,2,574
25 dic 2024,7,690
25 dic 2024,1,288
26 dic 2024,4,78
26 dic 2024,1,291
26 dic 2024,20,3
26 dic 2024,3,442
26 dic 2024,6,312
26 dic 2024,7,1121
26 dic 2024,2,591
26 dic 2024,17,9
27 dic 2024,2,782
27 dic 2024,7,1434
27 dic 2024,20,18
27 dic 2024,4,115
27 dic 2024,6,400
27 dic 2024,17,1
27 dic 2024,1,380
27 dic 2024,3,664
28 dic 2024,4,128
28 dic 2024,10,2
28 dic 2024,3,619
28 dic 2024,6,403
28 dic 2024,7,1319
28 dic 2024,17,2
28 dic 2024,2,718
28 dic 2024,20,18
28 dic 2024,1,369
29 dic 2024,1,261
29 dic 2024,17,4
29 dic 2024,6,156
29 dic 2024,2,467
29 dic 2024,20,15
29 dic 2024,7,712
29 dic 2024,4,65
29 dic 2024,3,197
30 dic 2024,20,17
30 dic 2024,17,8
30 dic 2024,2,699
30 dic 2024,4,83
30 dic 2024,7,1120
30 dic 2024,6,318
30 dic 2024,1,377
30 dic 2024,3,473
31 dic 2024,1,367
31 dic 2024,17,3
31 dic 2024,3,413
31 dic 2024,20,17
31 dic 2024,7,1002
31 dic 2024,4,107
31 dic 2024,6,363
31 dic 2024,2,753
